motion,label
12.054688 3.121094 7.347656 9.222656 36.421875 11.730469 -55.355469 -95.289062 22.734375 17.132812 21.000000 9.046875 -54.515625 -90.230469 -112.679688 -93.589844 13.371094 11.207031 10.503906 4.320312 -19.457031 -81.691406 -111.851562 -106.289062,l
5.632812 9.007812 20.445312 39.265625 -38.601562 -76.453125 -87.187500 -46.359375 19.554688 19.640625 -26.359375 -82.296875 -104.367188 -106.343750 -87.351562 -70.210938 11.718750 7.273438 -5.796875 -54.757812 -107.296875 -107.937500 -116.390625 -131.507812,l
11.296875 42.523438 -6.937500 -60.507812 -99.585938 -47.742188 -69.218750 -61.882812 0.289062 -66.117188 -94.492188 -113.937500 -89.132812 -85.570312 -38.351562 -58.445312 2.210938 -30.031250 -92.656250 -111.156250 -108.101562 -130.828125 -125.929688 -90.421875,l
28.437500 -48.421875 -86.601562 -72.882812 -53.695312 -67.132812 -70.937500 -78.351562 -86.007812 -109.250000 -100.234375 -88.546875 -58.617188 -36.437500 -100.101562 -112.226562 -69.335938 -110.937500 -106.421875 -122.234375 -130.132812 -112.375000 -64.632812 -111.539062,l
-64.078125 -97.132812 -43.609375 -71.585938 -63.000000 -79.468750 -78.296875 -125.000000 -114.328125 -86.804688 -79.445312 -32.914062 -72.726562 -115.437500 -115.882812 -138.460938 -112.898438 -111.484375 -131.750000 -123.445312 -78.734375 -85.320312 -139.367188 -147.257812,l
-60.007812 -62.234375 -63.734375 -74.625000 -77.296875 -100.062500 -144.210938 -109.367188 -94.242188 -46.914062 -45.796875 -109.343750 -111.234375 -131.757812 -141.515625 -142.921875 -133.359375 -128.070312 -102.015625 -66.593750 -122.695312 -150.484375 -134.601562 -138.976562,l
-72.062500 -66.195312 -79.460938 -82.031250 -135.781250 -126.585938 -93.187500 -131.195312 -36.867188 -86.859375 -114.460938 -121.148438 -140.101562 -141.953125 -153.351562 -177.492188 -125.554688 -69.195312 -98.101562 -144.968750 -143.046875 -133.148438 -162.171875 -207.781250,l
-80.750000 -76.609375 -112.375000 -141.289062 -102.132812 -106.429688 -145.515625 -101.031250 -115.890625 -112.109375 -136.210938 -142.273438 -145.023438 -169.789062 -179.617188 -159.156250 -79.945312 -131.898438 -149.625000 -132.546875 -144.195312 -197.679688 -202.718750 -209.734375,l
-93.398438 -142.078125 -117.781250 -92.992188 -141.640625 -115.250000 -106.132812 -118.070312 -132.914062 -140.468750 -142.625000 -159.195312 -179.468750 -168.117188 -160.187500 -176.203125 -151.218750 -138.609375 -135.085938 -174.515625 -207.203125 -207.218750 -195.179688 -175.968750,l
-138.281250 -96.179688 -118.398438 -137.804688 -100.375000 -114.164062 -124.671875 -135.804688 -147.523438 -147.976562 -174.593750 -177.359375 -156.976562 -172.445312 -165.789062 -123.968750 -138.875000 -151.750000 -204.437500 -202.671875 -206.992188 -179.210938 -176.312500 -161.585938,l
-103.632812 -146.492188 -106.164062 -109.140625 -120.445312 -130.734375 -133.789062 -112.640625 -171.093750 -179.750000 -163.382812 -164.375000 -174.835938 -137.445312 -133.250000 -154.867188 -193.523438 -204.718750 -209.148438 -188.781250 -175.781250 -170.718750 -154.929688 -152.695312,l
-130.554688 -102.375000 -116.117188 -126.218750 -137.390625 -118.906250 -103.187500 -90.328125 -180.710938 -156.828125 -175.539062 -157.468750 -122.953125 -152.968750 -150.234375 -147.312500 -211.875000 -201.695312 -176.429688 -175.703125 -157.539062 -157.882812 -138.359375 -132.414062,l
-117.968750 -122.312500 -133.460938 -128.820312 -110.703125 -89.164062 -105.382812 -122.398438 -177.390625 -170.757812 -129.398438 -141.195312 -153.257812 -148.703125 -144.179688 -147.179688 -192.085938 -175.781250 -165.945312 -156.273438 -147.648438 -132.328125 -149.414062 -194.835938,l
-134.148438 -136.335938 -115.351562 -97.585938 -94.968750 -115.562500 -131.007812 -122.359375 -155.585938 -125.890625 -155.414062 -149.593750 -146.093750 -143.187500 -156.812500 -135.101562 -182.351562 -155.054688 -155.929688 -135.507812 -134.953125 -184.718750 -176.820312 -140.023438,l
-129.070312 -107.289062 -88.210938 -109.257812 -126.453125 -127.015625 -117.718750 -133.523438 -155.710938 -150.796875 -148.507812 -143.390625 -150.726562 -149.234375 -123.554688 -130.070312 -166.671875 -142.265625 -131.484375 -161.226562 -192.453125 -149.593750 -145.148438 -152.953125,l
-98.234375 -100.054688 -118.796875 -130.726562 -120.828125 -121.109375 -147.945312 -115.531250 -156.343750 -144.507812 -144.875000 -157.203125 -129.093750 -124.726562 -152.625000 -162.882812 -141.117188 -140.265625 -191.945312 -167.039062 -139.000000 -157.687500 -135.867188 -144.828125,l
-116.476562 -129.171875 -124.523438 -116.976562 -141.039062 -131.859375 -107.609375 -129.890625 -149.757812 -153.617188 -142.531250 -123.484375 -135.656250 -170.015625 -146.828125 -156.023438 -179.867188 -185.804688 -143.187500 -150.500000 -146.789062 -137.578125 -153.296875 -180.289062,l
-134.320312 -118.679688 -126.585938 -145.648438 -110.398438 -118.960938 -138.984375 -164.945312 -161.226562 -124.742188 -127.101562 -161.554688 -156.156250 -151.789062 -152.000000 -163.414062 -166.179688 -140.750000 -156.507812 -133.960938 -147.671875 -168.710938 -194.406250 -199.343750,l
-124.085938 -145.734375 -123.117188 -109.414062 -134.156250 -150.296875 -172.140625 -141.593750 -132.054688 -142.750000 -168.562500 -146.757812 -155.367188 -155.000000 -171.562500 -167.515625 -163.671875 -140.375000 -140.976562 -157.500000 -185.328125 -204.304688 -178.460938 -174.671875,l
-144.968750 -107.312500 -124.734375 -141.187500 -170.726562 -153.351562 -128.523438 -129.867188 -173.054688 -149.695312 -155.148438 -151.437500 -167.203125 -169.984375 -164.718750 -176.812500 -142.054688 -150.148438 -174.359375 -198.953125 -192.890625 -172.656250 -168.625000 -157.000000,l
-120.296875 -136.593750 -157.570312 -167.070312 -137.148438 -122.687500 -140.421875 -131.851562 -157.015625 -153.015625 -159.328125 -171.843750 -165.906250 -169.835938 -172.101562 -134.117188 -168.796875 -189.835938 -202.984375 -174.234375 -173.992188 -160.398438 -150.804688 -130.953125,l
-149.382812 -173.046875 -146.929688 -124.515625 -135.046875 -135.187500 -122.140625 -96.101562 -158.226562 -169.414062 -169.148438 -165.109375 -178.132812 -145.320312 -139.851562 -157.523438 -209.562500 -185.117188 -173.515625 -165.570312 -155.195312 -140.414062 -133.992188 -192.812500,l
-166.046875 -132.546875 -125.296875 -139.445312 -130.375000 -101.093750 -102.562500 -108.195312 -177.523438 -164.390625 -173.867188 -164.421875 -133.445312 -150.492188 -171.804688 -144.617188 -181.015625 -171.414062 -158.226562 -148.117188 -128.000000 -172.289062 -182.554688 -131.539062,l
-129.578125 -138.398438 -133.242188 -114.960938 -97.718750 -105.101562 -116.109375 -125.484375 -174.570312 -176.171875 -138.429688 -144.046875 -162.187500 -165.421875 -122.289062 -144.093750 -169.390625 -153.023438 -135.195312 -144.156250 -194.546875 -148.867188 -119.445312 -134.195312,l
-142.773438 -127.015625 -97.132812 -103.851562 -111.242188 -120.015625 -134.710938 -132.234375 -161.734375 -135.179688 -153.945312 -173.773438 -133.960938 -131.679688 -153.960938 -142.257812 -151.437500 -128.398438 -184.500000 -171.546875 -125.328125 -125.812500 -140.070312 -122.851562,l
-113.226562 -99.890625 -106.226562 -117.367188 -129.445312 -134.585938 -113.726562 -55.453125 -155.023438 -166.804688 -156.281250 -122.750000 -148.539062 -150.265625 -134.625000 -151.703125 -164.773438 -190.617188 -139.015625 -119.867188 -137.445312 -134.109375 -103.757812 -153.375000,l
-110.031250 -113.664062 -122.234375 -135.390625 -129.250000 -72.914062 -64.296875 -125.820312 -178.742188 -125.554688 -138.351562 -154.351562 -138.265625 -142.968750 -152.085938 -136.140625 -166.023438 -121.101562 -129.695312 -139.539062 -115.601562 -116.664062 -213.093750 -179.312500,l
-123.460938 -132.296875 -133.921875 -100.648438 -54.226562 -98.914062 -146.351562 -126.921875 -135.148438 -151.375000 -147.000000 -135.804688 -153.750000 -139.437500 -147.710938 -163.031250 -129.140625 -139.210938 -128.867188 -102.601562 -176.015625 -211.882812 -142.812500 -127.398438,l
-140.968750 -122.921875 -61.898438 -73.710938 -136.851562 -134.546875 -123.171875 -102.984375 -158.554688 -135.070312 -147.945312 -148.460938 -137.750000 -162.398438 -150.789062 -124.562500 -143.554688 -108.578125 -132.460938 -221.593750 -162.890625 -137.554688 -101.523438 -107.312500,l
-92.281250 -57.078125 -112.695312 -144.625000 -125.671875 -111.570312 -87.492188 -74.531250 -146.179688 -153.343750 -137.007812 -153.898438 -160.234375 -133.054688 -125.406250 -149.390625 -113.890625 -196.789062 -196.664062 -139.656250 -118.546875 -98.750000 -119.007812 -152.726562,l
-89.937500 -143.507812 -129.968750 -119.953125 -99.093750 -69.125000 -112.367188 -144.945312 -150.015625 -141.648438 -164.007812 -144.953125 -122.882812 -138.476562 -166.015625 -169.265625 -225.554688 -150.273438 -133.593750 -97.218750 -111.289062 -137.812500 -164.500000 -158.609375,l
-144.312500 -124.343750 -107.195312 -80.007812 -84.851562 -141.835938 -128.921875 -99.437500 -165.218750 -155.398438 -128.476562 -129.179688 -154.703125 -173.703125 -153.101562 -116.812500 -150.945312 -108.796875 -102.539062 -124.117188 -158.359375 -163.546875 -151.976562 -152.554688,l
-122.460938 -93.554688 -69.117188 -125.117188 -142.031250 -106.046875 -94.835938 -92.023438 -146.328125 -122.632812 -144.148438 -170.437500 -164.625000 -130.312500 -118.523438 -144.023438 -103.257812 -114.765625 -145.406250 -165.312500 -155.726562 -153.429688 -145.601562 -142.062500,l
