motion,label
-72.800781 -74.898438 -74.652344 -71.160156 -101.503906 -103.777344 -76.394531 -62.300781 -91.203125 -68.472656 -81.710938 -87.183594 -93.867188 -86.535156 -96.949219 -110.742188 -65.511719 -56.851562 -80.511719 -119.984375 -109.644531 -105.199219 -127.226562 -123.453125,l
-102.351562 -116.046875 -134.851562 -112.718750 -109.859375 -97.812500 -94.859375 -93.992188 -129.484375 -133.703125 -115.820312 -104.445312 -96.195312 -94.023438 -97.789062 -107.429688 -148.406250 -145.843750 -145.117188 -126.789062 -110.148438 -106.570312 -116.484375 -110.210938,l
-94.625000 -100.992188 -111.218750 -88.820312 -89.437500 -84.890625 -69.804688 -67.273438 -109.117188 -113.757812 -107.820312 -108.531250 -79.187500 -70.148438 -80.445312 -130.500000 -120.554688 -128.125000 -126.226562 -125.257812 -113.156250 -79.140625 -82.773438 -154.492188,l
-98.765625 -113.703125 -129.304688 -113.671875 -106.382812 -94.335938 -61.140625 -104.460938 -111.140625 -103.859375 -112.554688 -120.156250 -100.632812 -79.968750 -122.242188 -133.226562 -159.546875 -128.781250 -150.773438 -132.601562 -110.109375 -121.171875 -110.867188 -104.398438,l
-127.546875 -116.679688 -99.828125 -92.187500 -74.609375 -84.148438 -91.960938 -90.835938 -115.351562 -103.984375 -118.554688 -111.734375 -95.960938 -97.187500 -103.867188 -102.039062 -131.632812 -124.492188 -130.375000 -136.343750 -123.593750 -115.156250 -102.414062 -99.679688,l
-71.667969 -63.648438 -52.621094 -57.609375 -103.476562 -107.363281 -80.792969 -88.804688 -103.406250 -58.660156 -59.093750 -74.042969 -122.074219 -81.398438 -47.105469 -90.351562 -94.890625 -56.167969 -78.539062 -123.570312 -105.878906 -90.792969 -88.312500 -111.277344,l
-80.968750 -68.726562 -79.652344 -84.941406 -36.843750 -23.132812 -77.777344 -121.703125 -92.253906 -57.371094 -78.601562 -70.296875 -92.421875 -76.839844 -74.468750 -100.460938 -56.664062 14.714844 -50.156250 -76.878906 -73.812500 -83.515625 -114.726562 -122.355469,l
-115.773438 -124.476562 -146.093750 -124.835938 -105.382812 -94.781250 -65.656250 -97.648438 -136.265625 -130.812500 -115.460938 -135.687500 -116.664062 -82.492188 -65.843750 -92.179688 -125.359375 -159.125000 -160.171875 -125.093750 -129.507812 -120.296875 -106.687500 -128.398438,l
-107.414062 -97.867188 -87.039062 -95.304688 -92.078125 -73.179688 -71.750000 -73.726562 -111.195312 -96.773438 -104.703125 -105.304688 -97.789062 -102.765625 -91.468750 -87.187500 -132.320312 -104.726562 -98.031250 -95.421875 -95.718750 -97.531250 -72.742188 -86.250000,l
-84.484375 -107.507812 -106.640625 -87.726562 -75.976562 -87.625000 -89.570312 -89.968750 -87.210938 -97.664062 -86.757812 -83.648438 -97.945312 -106.328125 -105.234375 -98.414062 -127.671875 -135.140625 -95.984375 -82.179688 -82.968750 -85.273438 -107.148438 -106.859375,l
-97.179688 -64.011719 -83.222656 -83.136719 -106.093750 -102.015625 -88.613281 -88.222656 -101.191406 -88.824219 -72.246094 -99.042969 -105.527344 -95.207031 -88.082031 -108.027344 -100.750000 -88.039062 -110.433594 -111.652344 -111.222656 -113.890625 -112.671875 -109.953125,l
-110.507812 -100.273438 -97.335938 -102.820312 -81.578125 -95.164062 -132.687500 -101.710938 -115.757812 -103.164062 -101.039062 -108.054688 -107.265625 -109.476562 -106.460938 -80.656250 -128.453125 -123.859375 -109.921875 -113.812500 -146.992188 -145.257812 -108.109375 -123.843750,l
-102.906250 -112.554688 -123.015625 -127.000000 -103.546875 -106.906250 -111.062500 -106.796875 -101.671875 -114.632812 -99.937500 -95.164062 -134.375000 -138.031250 -127.281250 -106.781250 -142.242188 -119.625000 -120.406250 -126.984375 -139.742188 -159.203125 -155.546875 -134.140625,l
-114.226562 -118.218750 -124.679688 -124.835938 -128.171875 -133.351562 -110.203125 -87.203125 -120.546875 -123.984375 -128.015625 -144.781250 -140.671875 -113.062500 -92.578125 -80.093750 -126.546875 -97.179688 -140.117188 -174.460938 -145.304688 -116.343750 -107.328125 -110.250000,l
-83.941406 -94.046875 -95.261719 -114.203125 -103.515625 -95.289062 -95.382812 -75.238281 -93.812500 -78.019531 -94.714844 -110.375000 -100.976562 -88.507812 -75.480469 -83.808594 -107.121094 -98.828125 -100.250000 -123.175781 -103.417969 -94.949219 -76.898438 -79.738281,l
-83.539062 -86.726562 -70.660156 -81.871094 -81.433594 -77.804688 -116.824219 -107.062500 -90.976562 -102.207031 -80.277344 -77.355469 -88.429688 -96.921875 -94.265625 -85.714844 -98.164062 -82.457031 -94.906250 -107.343750 -110.324219 -114.511719 -103.199219 -103.816406,l
-91.992188 -93.062500 -89.812500 -68.406250 -105.468750 -97.851562 -55.382812 -84.648438 -106.242188 -88.015625 -94.812500 -113.460938 -103.726562 -88.625000 -77.843750 -82.031250 -112.046875 -129.968750 -136.484375 -122.375000 -119.492188 -97.156250 -62.343750 -94.492188,l
-95.734375 -104.406250 -80.226562 -76.156250 -77.125000 -86.101562 -102.562500 -77.031250 -108.335938 -88.460938 -88.757812 -84.890625 -100.820312 -102.914062 -119.460938 -77.742188 -105.539062 -85.507812 -88.257812 -98.000000 -121.882812 -138.179688 -118.093750 -97.539062,l
-98.039062 -102.445312 -110.726562 -113.531250 -103.695312 -99.421875 -85.789062 -88.242188 -81.375000 -126.367188 -106.757812 -109.812500 -115.273438 -97.742188 -99.820312 -98.390625 -115.625000 -124.921875 -134.429688 -124.453125 -123.250000 -131.718750 -141.125000 -100.109375,l
-111.382812 -80.078125 -86.601562 -87.789062 -107.343750 -117.203125 -94.664062 -64.875000 -96.398438 -97.343750 -92.242188 -135.539062 -124.765625 -93.570312 -69.539062 -81.125000 -94.359375 -95.976562 -140.609375 -139.539062 -119.742188 -105.054688 -96.718750 -86.351562,l
-79.062500 -84.757812 -71.117188 -92.765625 -111.476562 -95.335938 -96.664062 -89.921875 -75.742188 -73.078125 -95.453125 -96.015625 -103.687500 -98.468750 -91.328125 -101.031250 -106.429688 -104.484375 -95.585938 -123.843750 -134.359375 -111.570312 -104.296875 -87.265625,l
-91.507812 -97.351562 -105.285156 -89.343750 -88.496094 -87.101562 -86.863281 -83.769531 -101.695312 -102.972656 -94.429688 -94.289062 -114.890625 -99.613281 -85.406250 -78.343750 -99.171875 -121.718750 -97.023438 -94.902344 -117.753906 -113.250000 -104.492188 -96.554688,l
-87.335938 -86.765625 -89.906250 -84.476562 -122.343750 -113.984375 -86.921875 -77.070312 -70.296875 -40.703125 -82.273438 -109.281250 -119.742188 -118.421875 -106.664062 -73.070312 -93.148438 -40.562500 -57.289062 -90.500000 -143.750000 -138.296875 -119.617188 -121.171875,l
-68.437500 -76.429688 -71.957031 -79.253906 -56.765625 -69.316406 -100.468750 -121.859375 -79.738281 -94.988281 -96.316406 -75.953125 -55.304688 -88.750000 -110.679688 -122.664062 -111.253906 -119.750000 -102.929688 -81.687500 -73.101562 -125.281250 -121.160156 -127.382812,l
-145.031250 -114.359375 -105.164062 -111.867188 -99.593750 -78.789062 -73.921875 -85.492188 -102.218750 -122.421875 -102.828125 -93.046875 -93.679688 -81.398438 -62.171875 -92.804688 -148.429688 -143.687500 -123.156250 -103.687500 -73.203125 -79.843750 -87.820312 -107.390625,l
-89.062500 -96.343750 -99.617188 -124.242188 -112.242188 -78.007812 -87.210938 -85.398438 -106.054688 -113.921875 -113.406250 -95.906250 -105.031250 -118.179688 -91.421875 -73.382812 -126.906250 -144.085938 -114.234375 -126.765625 -135.750000 -110.210938 -66.859375 -86.398438,l
-86.460938 -113.601562 -89.664062 -87.789062 -105.304688 -126.210938 -99.664062 -81.734375 -87.148438 -86.125000 -81.078125 -97.320312 -123.445312 -97.367188 -97.695312 -103.570312 -113.718750 -109.546875 -93.023438 -100.593750 -128.710938 -113.687500 -104.835938 -108.382812,l
-98.218750 -118.187500 -98.007812 -86.898438 -96.937500 -85.484375 -90.046875 -94.804688 -105.140625 -71.609375 -97.617188 -96.867188 -91.179688 -84.093750 -88.695312 -103.976562 -119.218750 -143.148438 -128.390625 -108.664062 -99.781250 -107.070312 -119.492188 -104.804688,l
-96.046875 -92.261719 -67.859375 -47.167969 -37.062500 -59.941406 -69.214844 -74.304688 -97.628906 -75.468750 -69.613281 -56.570312 -73.406250 -75.804688 -59.371094 -74.179688 -86.886719 -57.839844 -23.003906 -25.121094 -103.179688 -107.480469 -106.992188 -109.050781,l
-99.859375 -95.023438 -84.105469 -89.195312 -80.871094 -93.500000 -85.937500 -85.667969 -88.441406 -96.199219 -77.570312 -53.785156 -96.171875 -97.167969 -83.589844 -75.804688 -103.968750 -97.972656 -86.218750 -117.070312 -87.949219 -82.097656 -112.593750 -103.222656,l
-86.851562 -101.191406 -81.003906 -71.250000 -68.445312 -60.164062 -98.246094 -111.625000 -95.160156 -89.671875 -87.578125 -71.062500 -67.066406 -87.402344 -99.699219 -83.882812 -122.039062 -104.496094 -75.679688 -98.375000 -116.472656 -107.066406 -98.019531 -111.703125,l
-85.257812 -94.121094 -95.882812 -86.300781 -89.992188 -45.460938 -4.761719 -69.488281 -96.171875 -106.726562 -98.480469 -117.980469 -70.218750 -59.523438 -61.070312 -56.136719 -106.511719 -88.066406 -113.421875 -113.621094 -68.324219 -46.605469 -61.960938 -82.898438,l
