motion,label
0.054688 1.015625 0.984375 -56.171875 -129.484375 -123.078125 -81.695312 -98.023438 -0.015625 0.765625 -0.039062 -53.648438 -56.382812 -18.570312 -5.945312 -93.789062 -0.554688 3.390625 -11.585938 -81.843750 -88.882812 -104.835938 -130.789062 -81.640625,l
-0.023438 2.148438 -3.171875 -89.882812 -100.492188 -83.695312 -122.070312 -100.000000 -0.171875 1.804688 -7.132812 -45.210938 10.734375 -71.070312 -73.953125 -49.484375 -0.265625 2.078125 -3.953125 -74.835938 -135.304688 -98.773438 -84.609375 -101.687500,l
-0.070312 0.687500 1.140625 -50.089844 -112.187500 -117.988281 -78.523438 -73.910156 -0.015625 -0.175781 6.171875 -50.527344 -90.546875 -48.234375 -61.734375 -42.074219 -0.605469 4.593750 -17.019531 -97.992188 -83.777344 -99.062500 -97.394531 -107.093750,l
0.023438 1.875000 -1.539062 -90.000000 -95.531250 -75.929688 -66.472656 -105.398438 0.062500 -0.382812 4.359375 -28.632812 -59.687500 -51.992188 -55.609375 -55.875000 -0.304688 2.996094 -7.851562 -80.917969 -102.222656 -101.988281 -98.320312 -101.843750,l
0.199219 0.812500 1.726562 -50.230469 -75.292969 -81.828125 -124.238281 -109.117188 -0.015625 0.828125 -0.988281 -47.117188 -44.183594 -71.226562 -30.964844 -62.363281 -0.390625 2.703125 -7.652344 -70.234375 -110.847656 -90.902344 -115.164062 -102.082031,l
0.156250 -0.273438 5.718750 -29.089844 -120.957031 -113.839844 -108.316406 -116.964844 -0.089844 1.148438 -0.562500 -71.320312 -44.656250 -47.011719 -70.464844 -54.261719 -0.566406 3.984375 -15.019531 -73.007812 -113.074219 -107.285156 -93.910156 -95.582031,l
-0.117188 1.773438 -2.898438 -71.328125 -115.945312 -106.593750 -136.257812 -63.882812 0.000000 -0.429688 4.875000 -34.023438 -68.625000 -64.906250 -47.906250 -99.320312 -0.398438 3.171875 -9.632812 -78.679688 -105.312500 -90.312500 -92.312500 -62.304688,l
-0.140625 2.679688 -7.156250 -77.015625 -130.039062 -104.875000 -40.070312 -109.281250 0.062500 0.171875 3.492188 -55.554688 -52.453125 -75.843750 -104.882812 -38.046875 -0.562500 3.460938 -12.351562 -66.953125 -101.546875 -69.789062 -65.500000 -63.382812,l
-0.300781 3.949219 -13.375000 -101.312500 -52.562500 -79.621094 -113.972656 -62.375000 0.089844 -0.593750 7.496094 -44.449219 -108.777344 -67.042969 -25.273438 -63.890625 -0.453125 3.183594 -11.789062 -64.699219 -67.250000 -66.414062 -57.554688 -86.800781,l
0.230469 -0.449219 7.523438 -35.902344 -118.960938 -81.675781 -52.234375 -84.859375 -0.183594 2.628906 -8.300781 -77.335938 -32.468750 -44.679688 -96.425781 -89.000000 -0.289062 2.410156 -7.562500 -57.281250 -63.359375 -67.199219 -113.785156 -118.453125,l
-0.023438 1.882812 -4.617188 -62.953125 -62.843750 -65.523438 -105.234375 -103.054688 -0.093750 1.125000 -2.601562 -39.875000 -74.023438 -105.882812 -64.906250 -80.601562 -0.304688 2.007812 -5.820312 -43.882812 -100.007812 -119.539062 -128.335938 -168.820312,l
0.187500 0.164062 3.218750 -31.140625 -97.523438 -103.703125 -98.789062 -70.781250 -0.187500 1.945312 -3.750000 -90.273438 -81.062500 -69.093750 -100.039062 -73.562500 -0.281250 2.523438 -5.531250 -84.578125 -123.914062 -159.835938 -125.968750 -78.421875,l
-0.054688 2.156250 -5.109375 -70.585938 -108.570312 -75.507812 -89.085938 -88.437500 0.039062 -0.281250 5.023438 -50.000000 -91.414062 -95.445312 -60.000000 -88.085938 -0.414062 2.914062 -4.992188 -109.203125 -167.109375 -75.906250 -99.671875 -79.265625,l
0.062500 1.480469 -2.867188 -49.640625 -80.574219 -93.191406 -84.179688 -53.125000 -0.019531 1.007812 2.000000 -86.695312 -67.035156 -84.640625 -64.382812 -49.605469 -0.640625 3.941406 -16.304688 -59.332031 -95.070312 -89.582031 -78.980469 -105.593750,l
-0.187500 3.234375 -10.539062 -81.593750 -88.558594 -64.945312 -70.281250 -121.175781 0.011719 0.414062 3.992188 -72.640625 -83.382812 -50.789062 -54.355469 -79.675781 -0.425781 3.042969 -10.468750 -70.937500 -81.335938 -92.398438 -122.062500 -114.992188,l
